Date,Logins 2016,Logins 2017,Logins 2018,Logins 2019,Logins 2020
12-9,1705,1108,927,772,
12-10,1738,764,575,639,
12-11,2108,709,532,624,
12-12,2207,813,529,771,
12-13,1773,761,455,678,
12-14,1537,938,402,690,
12-15,1663,1019,724,801,
12-16,1813,1143,760,719,
12-17,1767,908,529,763,
12-18,2335,1045,520,578,
12-19,2153,1000,514,627,
12-20,2059,1270,564,654,
12-21,993,1065,558,631,
12-22,2146,626,553,653,
12-23,2586,1069,616,799,
12-24,1327,980,550,812,
12-25,2407,1040,444,755,
12-26,2410,1015,480,777,
12-27,2708,1159,593,678,
12-28,2475,1201,572,685,
12-29,2365,1123,603,792,
12-30,2343,1244,572,793,
12-31,2163,1244,569,641,
